date,open,high,low,close,,,
7/5/2013,162.47,163.08,161.3,163.02,,,
7/8/2013,163.86,164.39,163.08,163.95,,,
7/9/2013,164.98,165.33,164.27,165.13,,,
7/10/2013,164.97,165.75,164.63,165.19,,,
7/11/2013,167.11,167.61,165.18,167.44,,,
7/12/2013,167.39,167.93,167.13,167.51,,,
7/15/2013,167.97,168.39,167.68,168.15,,,
7/16/2013,168.26,168.36,167.07,167.52,,,
7/17/2013,168.16,168.48,167.73,167.95,,,
7/18/2013,168.31,169.27,168.2,168.87,,,
7/19/2013,168.52,169.23,168.31,169.17,,,
7/22/2013,169.41,169.74,169.01,169.5,,,
7/23/2013,169.8,169.83,169.05,169.14,,,
7/24/2013,169.79,169.86,168.18,168.52,,,
7/25/2013,168.22,169.08,167.94,168.93,,,
7/26/2013,168.22,169.16,167.52,169.11,,,
7/29/2013,168.68,169.06,168.11,168.59,,,
7/30/2013,169.1,169.28,168.19,168.59,,,
7/31/2013,168.94,169.85,168.49,168.71,,,
8/1/2013,169.99,170.81,169.9,170.66,,,
8/2/2013,170.28,170.97,170.05,170.95,,,
8/5/2013,170.57,170.96,170.35,170.7,,,
8/6/2013,170.37,170.74,169.35,169.73,,,
8/7/2013,169.19,169.43,168.55,169.18,,,
8/8/2013,169.98,170.18,168.93,169.8,,,
8/9/2013,169.58,170.1,168.72,169.31,,,
8/12/2013,168.46,169.31,168.38,169.11,,,
8/13/2013,169.41,169.9,168.41,169.61,,,
8/14/2013,169.53,169.8,168.7,168.74,,,
8/15/2013,167.41,167.43,166.09,166.38,,,
8/16/2013,166.06,166.63,165.5,165.83,,,
8/19/2013,165.64,166.21,164.76,164.77,,,
8/20/2013,165.04,166.2,164.86,165.58,,,
8/21/2013,165.12,166.03,164.19,164.56,,,
8/22/2013,164.9,166.3,164.89,166.06,,,
8/23/2013,166.55,166.83,165.77,166.62,,,
8/26/2013,166.79,167.3,165.89,166,,,
8/27/2013,164.36,166,163.21,163.33,,,
8/28/2013,163.26,164.49,163.05,163.91,,,
8/29/2013,163.55,165.04,163.4,164.17,,,
8/30/2013,164.51,164.53,163.17,163.65,,,
9/3/2013,165.23,165.58,163.7,164.39,,,
9/4/2013,164.43,166.03,164.13,165.75,,,
9/5/2013,165.85,166.4,165.73,165.96,,,
9/6/2013,166.51,166.98,164.48,166.04,,,
9/9/2013,166.45,167.73,166.45,167.63,,,
9/10/2013,168.64,168.9,168.26,168.87,,,
9/11/2013,168.64,169.4,168.35,169.4,,,
9/12/2013,169.34,169.56,168.72,168.95,,,
9/13/2013,169.13,169.46,168.74,169.33,,,
9/16/2013,171.16,171.24,170.04,170.31,,,
